,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
0,1RXS 1609 b,1.0,1.0,1.0,2.0,1,4.08E-06,4.08E-06,4.08E-06,1RXS 1609,Sco,K7V,Imaging,2008
1,1SWASP J1407 b,1.0,1.0,1.0,2.0,1,0.02166914,0.02166914,0.02166914,1SWASP J1407,Cen,K,Primary Transit,2012
2,2M 0103-55(AB) b,1.0,1.0,1.0,2.0,1,3.96E-06,3.96E-06,3.96E-06,2M 0103-55(AB),Phe,M,Imaging,2013
3,2M 0122-24 b,1.0,1.0,1.0,2.0,1,1.03E-05,1.03E-05,1.03E-05,2M 0122-24,Cet,M3.5,Imaging,2013
4,2M 0219-39 b,1.0,1.0,1.0,2.0,1,2.37E-07,2.37E-07,2.37E-07,2M 0219-39,For,M6,Imaging,2015
5,2M 0441+23 b,1.0,1.0,1.0,2.0,1,1.26E-07,1.26E-07,1.26E-07,2M 0441+23,Tau,M8.5,Imaging,2010
6,2M 0746+20 b,1.0,1.0,1.0,2.0,1,9.06E-06,2.29E-05,7.61E-05,2M 0746+20,Gem,,Imaging,2010
7,2M 1207-39 b,1.0,1.0,1.0,2.0,1,2.74E-08,2.74E-08,2.74E-08,2M 1207-39,Cen,M8,Imaging,2004
8,2M 1938+46 b,1.0,1.0,1.0,2.0,1,0.1531191,0.1531191,0.1531191,2M 1938+46,Cyg,sdB+M,Pulsar,2015
9,2M 2140+16 b,1.0,1.0,1.0,2.0,1,1.27E-05,2.09E-05,3.68E-05,2M 2140+16,Peg,,Imaging,2010
10,2M 2206-20 b,1.0,1.0,1.0,2.0,1,1.65E-05,1.65E-05,1.65E-05,2M 2206-20,Aqr,,Imaging,2010
11,2M 2236+4751 b,1.0,1.0,1.0,2.0,1,7.43E-07,7.43E-07,7.43E-07,2M 2236+4751,Lac,K7,Imaging,2016
12,2MASS J1450-7841 Ab,1.0,1.0,1.0,2.0,1,1.56E-09,1.56E-09,1.56E-09,2MASS J1450-7841 Ab,Aps,M9p,Imaging,2017
13,2MASS J1450-7841 Bb,1.0,1.0,1.0,2.0,1,1.56E-09,1.56E-09,1.56E-09,2MASS J1450-7841 Bb,Aps,M8p,Imaging,2017
14,2MASS J2250+2325 b,,1.0,1.0,,1,             ,             ,             ,2MASS J2250+2325,Peg,M3,Imaging,2017
15,2MASS J11193254 AB b,,1.0,1.0,,1,             ,             ,             ,2MASS J11193254 AB,Crt,L7,Imaging,2017
16,2M J2126-81 b,1.0,1.0,1.0,2.0,1,7.82E-09,7.82E-09,7.82E-09,2M J2126-81,Oct,M2,Imaging,2016
17,4 Uma b,2.0,1.0,1.0,2.0,1,72.05381,163.7823,457.8407,4 Uma,UMa,K1III,Radial Velocity,2007
18,6 Lyn b,2.0,1.0,,,1,2.393847,3.106028,4.104261,6 Lyn,Lyn,K0IV,Radial Velocity,2008
19,7 CMa b,3.0,1.0,1.0,2.0,1,0.4514996,0.6887656,1.104356,7 CMa,CMa,K1 III,Radial Velocity,2011
20,8 Umi b,2.0,1.0,1.0,2.0,1,179.9768,202.5754,228.8484,8 Umi,UMi,K0,Radial Velocity,2015
21,11 Com b,2.0,1.0,1.0,2.0,1,64.95758,101.1515,166.4222,11 Com,Com,G8 III,Radial Velocity,2008
22,11 Oph b,1.0,1.0,1.0,2.0,1,2.97E-10,2.97E-10,2.97E-10,11 Oph,Sco,M9,Imaging,2007
23,11 UMi b,2.0,1.0,1.0,2.0,1,66.72755,78.07546,91.9485,11 UMi,UMi,K4III,Radial Velocity,2009
24,14 And b,2.0,1.0,1.0,2.0,1,84.5634,84.56341,84.56342,14 And,And,K0III,Radial Velocity,2008
25,14 Her b,1.0,1.0,1.0,2.0,1,0.02488932,0.05017497,0.1171233,14 Her,Her,K0 V,Radial Velocity,2002
26,16 Cyg B b,1.0,1.0,1.0,2.0,1,0.1183426,0.4656991,3.489002,16 Cyg B,Cyg,G2.5 V,Radial Velocity,1996
27,18 Del b,2.0,1.0,1.0,2.0,1,5.052827,5.912127,6.962639,18 Del,Del,G6III,Radial Velocity,2008
28,24 Boo b,2.0,1.0,1.0,1.0,1,1485.419,1614.173,1757.259,24 Boo,Boo,G3IV,Radial Velocity,2018
29,24 Sex b,2.0,1.0,1.0,2.0,1,6.892935,8.222184,9.88868,24 Sex,Sex,G5,Radial Velocity,2010
30,24 Sex c,2.0,1.0,1.0,2.0,1,2.021499,3.514242,6.671723,24 Sex,Sex,G5,Radial Velocity,2010
31,30 Ari B b,2.0,1.0,1.0,2.0,1,1.458875,2.531428,4.793875,30 Ari B,Ari,F6V,Radial Velocity,2009
32,38 Vir b,3.0,1.0,1.0,2.0,1,0.9922981,1.053172,1.11882,38 Vir,Vir,F6 V,Primary Transit,2016
33,42 Dra b,2.0,1.0,1.0,2.0,1,50.25558,103.4399,248.9079,42 Dra,Dra,K1.5III,Radial Velocity,2009
34,47 Uma b,3.0,1.0,1.0,2.0,1,0.3539971,0.3771968,0.4023415,47 Uma,UMa,G0V,Radial Velocity,1996
35,47 Uma c,1.0,1.0,1.0,2.0,1,0.1064176,0.1289065,0.1576762,47 Uma,UMa,G0V,Radial Velocity,2001
36,47 Uma d,1.0,1.0,1.0,2.0,1,0.00918359,0.01251699,0.01751094,47 Uma,UMa,G0V,Radial Velocity,2010
37,51 Eri b,1.0,1.0,1.0,2.0,1,0.01966726,0.02944644,0.04613009,51 Eri,Eri,F0IV,Imaging,2015
38,51 Peg b,2.0,1.0,1.0,1.0,1,590.7382,598.9285,607.2656,51 Peg,Peg,G2 IV,Radial Velocity,1995
39,55 Cnc b,2.0,1.0,1.0,2.0,1,45.02418,45.23154,45.44021,55 Cnc,Cnc,K0IV-V,Radial Velocity,1996
40,55 Cnc c,2.0,1.0,1.0,1.0,1,8.983615,10.34999,11.98713,55 Cnc,Cnc,K0IV-V,Radial Velocity,2002
41,55 Cnc d,1.0,1.0,1.0,2.0,1,0.01859472,0.01961515,0.02070712,55 Cnc,Cnc,K0IV-V,Radial Velocity,2002
42,55 Cnc e,2.0,2.0,3.0,1.0,1,2308.751,2440.741,2582.373,55 Cnc,Cnc,K0IV-V,Primary Transit,2004
43,55 Cnc f,3.0,3.0,1.0,2.0,1,0.8338322,0.9756365,1.148995,55 Cnc,Cnc,K0IV-V,Radial Velocity,2007
44,61 Vir b,2.0,2.0,2.0,1.0,1,234.718,296.5414,380.1633,61 Vir,Vir,G5V,Radial Velocity,2009
45,61 Vir c,2.0,3.0,1.0,1.0,1,12.0694,15.83946,21.20532,61 Vir,Vir,G5V,Radial Velocity,2009
46,61 Vir d,2.0,3.0,1.0,1.0,1,1.797182,3.49562,7.75032,61 Vir,Vir,G5V,Radial Velocity,2009
47,70 Vir b,2.0,1.0,1.0,2.0,1,6.423269,14.5443,40.41541,70 Vir,Vir,G4 V,Radial Velocity,1996
48,75 Cet b,2.0,1.0,1.0,2.0,1,12.36982,12.36982,12.36982,75 Cet,Cet,G3III,Radial Velocity,2012
49,81 Cet b,2.0,1.0,1.0,2.0,1,16.83748,25.0215,38.83791,81 Cet,Cet,G5III,Radial Velocity,2008
50,91 Aqr b,2.0,1.0,1.0,2.0,1,60.10398,63.41486,66.95869,91 Aqr,Aqr,K0 III,Radial Velocity,2003
51,AB Pic b,1.0,1.0,1.0,2.0,1,6.35E-06,6.35E-06,6.35E-06,AB Pic,Pic,K2 V,Imaging,2005
52,Aldebaran b,2.0,1.0,1.0,2.0,1,191.3177,232.6393,285.7693,Aldebaran,Tau,K5III,Radial Velocity,1998
53,alf Ari b,2.0,1.0,1.0,2.0,1,33.11425,53.42722,91.96552,alf Ari,Ari,K2III,Radial Velocity,2011
54,alf Cen B b,2.0,4.0,2.0,3.0,1,308.7997,308.7997,308.7998,alf Cen B,Cen,K1V,Radial Velocity,2012
55,AS 205 A b,2.0,1.0,1.0,2.0,1,87.81787,170.8106,378.7131,AS 205 A,Sco,K5,Radial Velocity,2017
56,BD+03 2562 b,2.0,1.0,1.0,2.0,1,108.512,159.4528,244.1111,BD+03 2562,Vir,K,Radial Velocity,2017
57,BD+14 4559 b,3.0,1.0,1.0,2.0,1,0.3467503,0.6028023,1.144409,BD+14 4559,Peg,K2V,Radial Velocity,2009
58,BD+15 2375 b,2.0,1.0,1.0,2.0,1,100.9861,101.1881,101.3907,BD+15 2375,Leo,K,Radial Velocity,2016
59,BD+15 2940 b,2.0,1.0,1.0,2.0,1,222.44,365.6481,644.7631,BD+15 2940,Ser,K0,Radial Velocity,2013
60,BD+20 274 c,2.0,1.0,1.0,2.0,1,54.11933,54.11934,54.11934,BD+20 274,Psc,K5,Radial Velocity,2012
61,BD+20 594 b,2.0,2.0,2.0,1.0,1,14.7045,14.7045,14.7045,BD+20 594,Tau,K0,Primary Transit,2016
62,BD+20 1790 b,2.0,1.0,1.0,2.0,1,26.38956,40.25745,64.54815,BD+20 1790,Gem,K5V,Other,2009
63,BD+20 2457 b,2.0,1.0,1.0,2.0,1,1.794673,2.400301,3.284628,BD+20 2457,Leo,K2II,Radial Velocity,2009
64,BD+20 2457 c,3.0,1.0,1.0,2.0,1,0.8870959,1.25551,1.836708,BD+20 2457,Leo,K2II,Radial Velocity,2009
65,BD+24 4697 b,3.0,1.0,1.0,2.0,1,0.562329,1.461887,5.072234,BD+24 4697,Peg,K,Radial Velocity,2016
66,BD+26 1888 b,1.0,1.0,1.0,2.0,1,0.07846386,0.1307965,0.2348865,BD+26 1888,Cnc,K7,Radial Velocity,2016
67,BD+48 738 b,2.0,1.0,1.0,2.0,1,28.62299,42.06001,64.39091,BD+48 738,Per,K0III,Radial Velocity,2011
68,BD+49 828 b,2.0,1.0,1.0,2.0,1,0.9625576,1.872228,4.151014,BD+49 828,Per,KO,Radial Velocity,2015
69,BD-06 1339 b,2.0,2.0,2.0,1.0,1,456.218,456.218,456.2181,BD-06 1339,Ori,K7V/M0V,Radial Velocity,2013
70,BD-06 1339 c,2.0,1.0,1.0,2.0,1,4.416532,4.416533,4.416533,BD-06 1339,Ori,K7V/M0V,Radial Velocity,2013
71,BD-06 1339 d,3.0,3.0,1.0,2.0,1,0.687699,0.7443822,0.8070599,BD-06 1339,Ori,K7V/M0V,Radial Velocity,2014
72,BD-08 2823 b,2.0,3.0,1.0,1.0,1,48.40723,64.74268,88.59536,BD-08 2823,Sex,K3V,Radial Velocity,2009
73,BD-08 2823 c,3.0,1.0,1.0,2.0,1,0.3066077,0.4421722,0.6616632,BD-08 2823,Sex,K3V,Radial Velocity,2009
74,BD-10 3166 b,2.0,1.0,1.0,1.0,1,1032.665,1054.302,1076.52,BD-10 3166,Crt,G4 V,Radial Velocity,2000
75,BD-11 4672 b,1.0,1.0,1.0,2.0,1,0.01697623,0.01873883,0.02073728,BD-11 4672,Sct,K7V,Radial Velocity,2010
76,BD-17 63 b,1.0,1.0,1.0,2.0,1,0.04955057,0.1395716,0.5551637,BD-17 63,Cet,K5V,Radial Velocity,2008
77,beta Cir b,1.0,1.0,1.0,2.0,1,3.33E-07,3.33E-07,3.33E-07,beta Cir,Cir,A3V,Imaging,2015
78,beta Cnc b,2.0,1.0,1.0,2.0,1,161.7154,189.2173,222.8388,beta Cnc,Cnc,K4III,Radial Velocity,2014
79,beta Pic b,1.0,1.0,1.0,2.0,1,0.0319353,0.05904876,0.1219288,beta Pic,Pic,A6V,Imaging,2008
80,beta Umi b,2.0,1.0,1.0,2.0,1,165.7544,239.0416,357.7002,beta Umi,UMi,K4III,Radial Velocity,2014
81,CD-35 2722 b,1.0,1.0,1.0,2.0,1,9.92E-06,9.92E-06,9.92E-06,CD-35 2722,Col,M1V,Imaging,2011
82,CFBDS 1458 b,1.0,1.0,1.0,2.0,1,6.40E-06,6.40E-06,6.40E-06,CFBDS 1458,Boo,T9.5,Imaging,2011
83,CFBDSIR J2149-0403 b,,1.0,1.0,,1,             ,             ,             ,CFBDSIR J2149-0403,Aqr,T7,Imaging,2017
84,CHXR 73 b,1.0,1.0,1.0,2.0,1,5.14E-07,5.14E-07,5.14E-07,CHXR 73,Cha,M3.25,Imaging,2006
85,CI Tau b,2.0,1.0,1.0,2.0,1,66.35128,66.3513,66.3513,CI Tau,Tau,K4IV,Radial Velocity,2016
86,CoRoT-1 b,2.0,1.0,1.0,1.0,1,2695.746,2695.746,2695.747,CoRoT-1,Mon,G0V,Primary Transit,2007
87,CoRoT-2 b,2.0,1.0,1.0,2.0,1,893.0377,893.0377,893.0378,CoRoT-2,Aql,G7V,Primary Transit,2007
88,CoRoT-3 b,2.0,1.0,1.0,2.0,1,1059.134,1059.134,1059.134,CoRoT-3,Aql,F3V,Primary Transit,2008
89,CoRoT-4 b,2.0,1.0,1.0,1.0,1,215.0617,215.0617,215.0617,CoRoT-4,Mon,F8V,Primary Transit,2008
90,CoRoT-5 b,2.0,1.0,1.0,1.0,1,601.0048,716.9039,862.208,CoRoT-5,Mon,F9V,Primary Transit,2008
91,CoRoT-6 b,2.0,1.0,1.0,2.0,1,146.5983,178.2612,218.9724,CoRoT-6,Oph,F9V,Primary Transit,2009
92,CoRoT-7 b,2.0,4.0,2.0,1.0,1,1458.282,1842.386,2361.921,CoRoT-7,Mon,K0V,Primary Transit,2009
93,CoRoT-7 c,2.0,3.0,1.0,1.0,1,203.8838,257.5857,330.2225,CoRoT-7,Mon,K0V,Radial Velocity,2009
94,CoRoT-8 b,2.0,1.0,1.0,1.0,1,89.25754,89.25756,89.25758,CoRoT-8,Aql,K1V,Primary Transit,2010
95,CoRoT-9 b,2.0,1.0,1.0,2.0,1,3.732832,4.834177,6.373951,CoRoT-9,Ser,G3V,Primary Transit,2010
96,CoRoT-10 b,2.0,1.0,1.0,2.0,1,14.26106,39.35395,151.0733,CoRoT-10,Aql,K1V,Primary Transit,2010
97,CoRoT-11 b,2.0,1.0,1.0,2.0,1,1418.954,1418.954,1418.955,CoRoT-11,Ser,F6V,Primary Transit,2010
98,CoRoT-12 b,2.0,1.0,1.0,1.0,1,627.7047,720.3788,830.861,CoRoT-12,Mon,G2V,Primary Transit,2010
99,CoRoT-13 b,2.0,1.0,1.0,2.0,1,439.5413,439.5414,439.5414,CoRoT-13,Mon,G0V,Primary Transit,2010
100,CoRoT-14 b,2.0,1.0,1.0,2.0,1,2390.243,2390.243,2390.243,CoRoT-14,Mon,F9V,Primary Transit,2010
101,CoRoT-15 b,2.0,1.0,1.0,2.0,1,1405.497,1405.497,1405.497,CoRoT-15,Mon,F7V,Primary Transit,2010
102,CoRoT-16 b,2.0,1.0,1.0,1.0,1,191.6928,359.1192,755.1809,CoRoT-16,Sct,G5V,Primary Transit,2010
103,CoRoT-17 b,2.0,1.0,1.0,2.0,1,1158.59,1158.59,1158.59,CoRoT-17,Sct,G2V,Primary Transit,2010
104,CoRoT-18 b,2.0,1.0,1.0,2.0,1,774.1521,905.8071,1066.758,CoRoT-18,Mon,G9V,Primary Transit,2011
105,CoRoT-19 b,2.0,1.0,1.0,1.0,1,1142.335,1253.567,1378.737,CoRoT-19,Mon,F9V,Primary Transit,2011
106,CoRoT-20 b,2.0,1.0,1.0,2.0,1,45.7464,134.8913,581.5852,CoRoT-20,Mon,G2V,Primary Transit,2011
107,CoRoT-21 b,2.0,1.0,1.0,2.0,1,2884.188,2884.188,2884.189,CoRoT-21,Mon,F8IV,Primary Transit,2011
108,CoRoT-22 b,2.0,3.0,1.0,1.0,1,146.7318,170.6929,199.7656,CoRoT-22,Ser,G0IV,Primary Transit,2011
109,CoRoT-23 b,2.0,1.0,1.0,2.0,1,920.5709,1254.713,1755.312,CoRoT-23,Ser,G0V,Primary Transit,2011
110,CoRoT-24 b,2.0,2.0,1.0,1.0,1,127.0373,127.0374,127.0374,CoRoT-24,Mon,K1V,Primary Transit,2011
111,CoRoT-24 c,2.0,3.0,1.0,1.0,1,41.48158,41.48158,41.48159,CoRoT-24,Mon,K1V,Primary Transit,2011
112,CoRoT-25 b,2.0,1.0,1.0,1.0,1,506.1459,506.1459,506.1459,CoRoT-25,Oph,G0V,Primary Transit,2012
113,CoRoT-26 b,2.0,1.0,1.0,1.0,1,1014.546,1014.546,1014.546,CoRoT-26,Oph,G8IV,Primary Transit,2012
114,CoRoT-27 b,2.0,1.0,1.0,2.0,1,493.468,560.8555,640.1892,CoRoT-27,Ser,G2,Primary Transit,2012
115,CoRoT-28 b,2.0,1.0,1.0,1.0,1,524.0601,575.0889,632.5123,CoRoT-28,Ser,G8/9IV,Primary Transit,2012
116,CoRoT-29 b,2.0,1.0,1.0,2.0,1,312.4405,366.9896,434.0136,CoRoT-29,Oph,KOV,Primary Transit,2012
117,CoRoT-30 b,2.0,1.0,1.0,2.0,1,106.5673,108.0663,109.5926,CoRoT-30,Oph,G3V,Primary Transit,2017
118,CoRoT-31 b,2.0,1.0,1.0,1.0,1,965.3325,1004.513,1045.723,CoRoT-31,Mon,G2IV,Primary Transit,2017
119,CoRoT-32 b,2.0,3.0,1.0,1.0,1,141.0992,141.0992,141.0992,CoRoT-32,Mon,G0VI,Primary Transit,2017
120,CoRoT-33 b,2.0,1.0,1.0,2.0,1,153.9553,176.6853,203.7829,CoRoT-33,Ser,G9V,Primary Transit,2015
121,CT Cha b,1.0,1.0,1.0,2.0,1,1.59E-06,1.59E-06,1.59E-06,CT Cha,Cha,K7,Imaging,2008
122,CVSO 30 b,2.0,1.0,1.0,2.0,1,4829.673,4829.673,4829.674,CVSO 30,Ori,M3 PMS,Primary Transit,2012
123,DE0823-49 b,1.0,1.0,1.0,2.0,1,0.000766566,0.001519336,0.003460603,DE0823-49,Vel,,Imaging,2013
124,DH Tau b,1.0,1.0,1.0,2.0,1,2.15E-07,2.15E-07,2.15E-07,DH Tau,Tau,M0.5V,Imaging,2005
125,DP Leo b,1.0,1.0,1.0,2.0,1,0.001749531,0.00366993,0.009081735,DP Leo,Leo,AM Her,Pulsar,2009
126,DW Lyn b,,1.0,1.0,,1,             ,             ,             ,DW Lyn,Lyn,SdB D,Radial Velocity,2013
127,DW Uma b,1.0,1.0,1.0,2.0,1,0.03693274,0.03693274,0.03693275,DW Uma,UMa,M3,Other,2016
128,EPC 212069861 b,2.0,3.0,1.0,1.0,1,2.646324,2.646324,2.646325,EPC 212069861,Cnc,M,Primary Transit,2017
129,EPIC-206011691 b,2.0,2.0,2.0,1.0,1,16.15,16.15,16.15,EPIC-206011691,Aqr,M0,Primary Transit,2015
130,EPIC-206011691 c,2.0,2.0,2.0,1.0,1,8.198086,8.198087,8.198089,EPIC-206011691,Aqr,M0,Primary Transit,2015
131,EPIC-210490365 b,2.0,3.0,1.0,1.0,1,5.537086,9.273277,16.75521,EPIC-210490365,Tau,M4.5,Primary Transit,2015
132,EPIC 201128338 b,2.0,3.0,1.0,1.0,1,2.859792,2.859792,2.859793,EPIC 201128338,Vir,M0.0V,Primary Transit,2017
133,EPIC 201295312 b,2.0,3.0,3.0,1.0,1,456.1121,576.2495,738.7465,EPIC 201295312,Leo,G,Primary Transit,2016
134,EPIC 201445392 c,2.0,2.0,2.0,1.0,1,251.9139,251.914,251.914,EPIC 201445392,Leo,K,Primary Transit,2015
135,EPIC 201498078 b,2.0,1.0,1.0,1.0,1,114.8808,240.9814,596.3408,EPIC 201498078,Vir,G,Primary Transit,2018
136,EPIC 201598502 b,1.0,2.0,2.0,2.0,1,0.1165529,0.1165529,0.1165529,EPIC 201598502,Vir,M3.0,Primary Transit,2017
137,EPIC 201637175 b,2.0,3.0,2.0,2.0,1,809.9706,809.9708,809.9709,EPIC 201637175,Leo,M0V,Primary Transit,2015
138,EPIC 201713348 b,2.0,4.0,2.0,3.0,1,547.1144,547.1145,547.1146,EPIC 201713348,Leo,K,Primary Transit,2015
139,EPIC 201713348 c,2.0,3.0,1.0,1.0,1,93.7765,93.7765,93.77653,EPIC 201713348,Leo,K,Primary Transit,2015
140,EPIC 203826436 b,2.0,2.0,2.0,1.0,1,213.6169,213.617,213.617,EPIC 203826436,Sco,G3V,Primary Transit,2015
141,EPIC 203826436 c,2.0,3.0,1.0,1.0,1,130.448,130.448,130.448,EPIC 203826436,Sco,G3V,Primary Transit,2015
142,EPIC 203826436 d,2.0,3.0,1.0,1.0,1,45.81489,45.81489,45.8149,EPIC 203826436,Sco,G3V,Primary Transit,2015
143,EPIC 204221263 b,2.0,4.0,2.0,1.0,1,466.4485,466.4485,466.4486,EPIC 204221263,Sco,G2V,Primary Transit,2016
144,EPIC 204221263 c,2.0,2.0,2.0,1.0,1,128.5021,128.5021,128.5021,EPIC 204221263,Sco,G2V,Primary Transit,2016
145,EPIC 210894022 b,2.0,2.0,2.0,1.0,1,379.4331,379.4332,379.4332,EPIC 210894022,Tau,G,Radial Velocity,2017
146,EPIC 211331236 b,2.0,2.0,2.0,1.0,1,121.9863,121.9863,121.9863,EPIC 211331236,Cnc,M1.0V,Primary Transit,2017
147,EPIC 211331236 c,2.0,2.0,2.0,1.0,1,17.88396,17.88396,17.88396,EPIC 211331236,Cnc,M1.0V,Primary Transit,2017
148,EPIC 211391664 b,2.0,3.0,1.0,1.0,1,243.2638,243.2638,243.2639,EPIC 211391664,Cnc,F8V,Primary Transit,2016
149,EPIC 211418729 b,2.0,1.0,1.0,2.0,1,45.3294,45.3294,45.3294,EPIC 211418729,Cnc,K,Primary Transit,2017
150,EPIC 211442297 b,2.0,1.0,1.0,2.0,1,27.55088,35.95161,47.81699,EPIC 211442297,Cnc,G,Primary Transit,2017
151,EPIC 211822797 b,2.0,2.0,2.0,1.0,1,3.15283,4.462212,6.527848,EPIC 211822797,Cnc,M,Primary Transit,2016
152,EPIC 211913977 b,2.0,2.0,2.0,1.0,1,17.97536,21.85776,26.84962,EPIC 211913977,Cnc,K,Primary Transit,2016
153,EPIC 211924657 b,2.0,2.0,2.0,1.0,1,20.39376,20.39376,20.39376,EPIC 211924657,Cnc,M3.0V,Primary Transit,2017
154,EPIC  211945201 b,2.0,3.0,1.0,1.0,1,102.7904,102.7904,102.7905,EPIC  211945201,Cnc,F,Primary Transit,2018
155,EPIC 211969807 b,2.0,2.0,2.0,1.0,1,44.02319,62.30619,91.14883,EPIC 211969807,Cnc,M,Primary Transit,2016
156,EPIC 211970147 b,2.0,4.0,2.0,1.0,1,26.51129,32.23732,39.59966,EPIC 211970147,Cnc,K,Primary Transit,2016
157,EPIC 211990866 b,2.0,3.0,1.0,3.0,1,1364.516,2160.829,3631.703,EPIC 211990866,Cnc,F,Primary Transit,2016
158,EPIC 212006344 b,2.0,4.0,2.0,1.0,1,94.01602,94.01603,94.01604,EPIC 212006344,Cnc,K,Primary Transit,2017
159,EPIC 213715787 b,2.0,4.0,2.0,1.0,1,198.0276,198.0276,198.0277,EPIC 213715787,Sgr,M,Primary Transit,2017
160,EPIC 216468514 b,2.0,1.0,1.0,1.0,1,1631.235,1631.235,1631.235,EPIC 216468514,Sgr,F9IV,Primary Transit,2016
161,EPIC 219388192 b,2.0,1.0,1.0,2.0,1,214.2443,310.6572,467.942,EPIC 219388192,Sgr,G,Primary Transit,2016
162,EPIC 220194974 b,2.0,4.0,2.0,1.0,1,48.13123,48.13124,48.13125,EPIC 220194974,Cet,K,Primary Transit,2017
163,EPIC 220194974 c,2.0,2.0,2.0,1.0,1,26.14432,26.14432,26.14432,EPIC 220194974,Cet,K,Primary Transit,2017
164,EPIC 220194974 d,2.0,2.0,2.0,1.0,1,16.55987,16.55987,16.55987,EPIC 220194974,Cet,K,Primary Transit,2017
165,EPIC 220504338 b,2.0,1.0,1.0,2.0,1,298.2326,298.2327,298.2327,EPIC 220504338,Psc,G,Primary Transit,2016
166,EPIC 220522664 b,2.0,2.0,2.0,1.0,1,8.264898,8.264899,8.264899,EPIC 220522664,Psc,M1.0V,Primary Transit,2017
167,EPIC 220598331 b,2.0,2.0,2.0,1.0,1,4.836929,4.83693,4.836931,EPIC 220598331,Psc,M2.5V,Primary Transit,2017
168,EPIC 220621087 b,2.0,4.0,2.0,1.0,1,20.47271,20.47272,20.47272,EPIC 220621087,Psc,M1.5V,Primary Transit,2017
169,EPIC 228735255 b,2.0,1.0,1.0,2.0,1,203.8841,257.586,330.2228,EPIC 228735255,Vir,G5,Primary Transit,2017
170,EPIC 228754001 b,2.0,1.0,1.0,1.0,1,614.7076,1068.628,2028.771,EPIC 228754001,Vir,K,Primary Transit,2017
171,EPIC 228934525 b,2.0,2.0,2.0,1.0,1,56.84837,56.84837,56.84838,EPIC 228934525,Vir,M0.0V,Primary Transit,2017
172,EPIC 228934525 c,2.0,2.0,2.0,1.0,1,20.28602,20.28602,20.28603,EPIC 228934525,Vir,M0.0V,Primary Transit,2017
173,EPIC 246911830 b,2.0,1.0,1.0,1.0,1,2580.12,2580.12,2580.12,EPIC 246911830,Tau,F6V,Primary Transit,2018
174,EPIC 248435473 b,2.0,3.0,1.0,3.0,1,703.546,703.5461,703.5462,EPIC 248435473,Sex,K,Radial Velocity,2018
175,EPIC 248435473 c,2.0,5.0,2.0,3.0,1,23.99326,26.02189,28.27068,EPIC 248435473,Sex,K,Radial Velocity,2018
176,EPIC 248545986 b,2.0,4.0,2.0,1.0,1,8.179411,8.179411,8.179412,EPIC 248545986,Sex,M,Primary Transit,2018
177,EPIC 248545986 c,2.0,4.0,2.0,1.0,1,4.79462,4.794621,4.794621,EPIC 248545986,Sex,M,Primary Transit,2018
178,EPIC 248545986 d,2.0,4.0,2.0,1.0,1,3.390143,3.390144,3.390144,EPIC 248545986,Sex,M,Primary Transit,2018
179,EPIC 249622103 b,2.0,4.0,2.0,1.0,1,271.7266,271.7266,271.7266,EPIC 249622103,Lib,K3,Primary Transit,2018
180,EPIC 249622103 c,2.0,4.0,2.0,1.0,1,66.85909,66.85909,66.8591,EPIC 249622103,Lib,K3,Primary Transit,2018
181,EPIC 249622103 d,2.0,3.0,1.0,1.0,1,12.82168,12.82168,12.82169,EPIC 249622103,Lib,K3,Primary Transit,2018
182,EPIC 249801827 b,2.0,2.0,2.0,2.0,1,20.948,20.948,20.948,EPIC 249801827,Ser,M,Primary Transit,2018
183,EPIC 249801827 c,2.0,4.0,3.0,1.0,1,4.104028,4.104029,4.104029,EPIC 249801827,Ser,M,Primary Transit,2018
184,eps CrB b,2.0,1.0,1.0,2.0,1,71.61716,88.76941,111.3883,eps CrB,CrB,K2III,Radial Velocity,2012
185,eps Eridani b,1.0,1.0,1.0,2.0,1,0.01479517,0.06016912,0.4824209,eps Eridani,Eri,K2 V,Radial Velocity,2000
186,eps Ind A b,1.0,1.0,1.0,2.0,1,0.001020946,0.001041508,0.001062602,eps Ind A,Ind,K2V,Radial Velocity,2018
187,eps Tau b,2.0,1.0,1.0,2.0,1,20.31746,27.22521,37.33767,eps Tau,Tau,K0 III,Radial Velocity,2007
188,eta Cet b,2.0,1.0,1.0,2.0,1,37.45188,48.22602,63.17447,eta Cet,Cet,K1III,Radial Velocity,2014
189,eta Cet c,2.0,1.0,1.0,2.0,1,17.11304,20.8092,25.56159,eta Cet,Cet,K1III,Radial Velocity,2014
190,FL Lyr b,1.0,1.0,1.0,2.0,1,0.0617334,0.06173341,0.06173342,FL Lyr,Lyr,G0V,Pulsar,2015
191,Fomalhaut b,1.0,1.0,1.0,2.0,1,0.001017287,0.001260926,0.001582217,Fomalhaut,PsA,A3 V,Imaging,2008
192,FU Tau b,1.0,1.0,1.0,2.0,1,3.66E-10,3.66E-10,3.66E-10,FU Tau,Tau,M7.25,Imaging,2009
193,FW Tau b,1.0,1.0,1.0,2.0,1,2.95E-07,2.95E-07,2.95E-07,FW Tau,Tau,M4,Imaging,2013
194,gamma 1 Leo b,2.0,1.0,,,1,172.9765,228.7359,308.9132,gamma 1 Leo,Leo,K0III,Radial Velocity,2009
