,P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),S. Name,S. Constellation,S. Type,P. Disc. Method,P. Disc. Year
1300,Kepler-79 b,2.0,3.0,1.0,1.0,1,129.5551,133.4839,137.5649,Kepler-79,Cyg,F,Primary Transit,2013
1301,Kepler-79 c,2.0,2.0,1.0,1.0,1,49.25006,52.27139,55.52966,Kepler-79,Cyg,F,Primary Transit,2013
1302,Kepler-79 d,2.0,2.0,1.0,1.0,1,21.11305,22.18828,23.33344,Kepler-79,Cyg,F,Primary Transit,2013
1303,Kepler-79 e,2.0,4.0,1.0,1.0,1,11.97351,12.26333,12.56213,Kepler-79,Cyg,F,Primary Transit,2013
1304,Kepler-80 b,2.0,2.0,3.0,1.0,1,40.83221,40.83221,40.83222,Kepler-80,Cyg,K,Primary Transit,2012
1305,Kepler-80 c,2.0,2.0,4.0,1.0,1,27.35724,27.35725,27.35726,Kepler-80,Cyg,K,Primary Transit,2012
1306,Kepler-80 d,2.0,4.0,2.0,1.0,1,123.7097,123.7097,123.7098,Kepler-80,Cyg,K,Primary Transit,2012
1307,Kepler-80 e,2.0,4.0,2.0,1.0,1,71.32323,71.32324,71.32324,Kepler-80,Cyg,K,Primary Transit,2012
1308,Kepler-80 f,2.0,4.0,2.0,3.0,1,562.8943,562.8945,562.8945,Kepler-80,Cyg,K,Transit,2016
1309,kepler-80 g,2.0,4.0,2.0,1.0,1,8.133963,8.133963,8.133965,kepler-80,Cyg,K,Primary Transit,2017
1310,Kepler-81 b,2.0,2.0,1.0,1.0,1,35.53229,35.53229,35.5323,Kepler-81,Cyg,K,Primary Transit,2013
1311,Kepler-81 c,2.0,2.0,2.0,2.0,1,14.06757,14.06757,14.06758,Kepler-81,Cyg,K,Primary Transit,2013
1312,Kepler-81 d,2.0,4.0,2.0,1.0,1,6.801102,6.801102,6.801103,Kepler-81,Cyg,K,Primary Transit,2014
1313,Kepler-82 b,2.0,3.0,1.0,1.0,1,26.85967,26.85968,26.85969,Kepler-82,Cyg,G,Primary Transit,2011
1314,Kepler-82 c,2.0,3.0,1.0,1.0,1,11.00693,11.00693,11.00694,Kepler-82,Cyg,G,Primary Transit,2011
1315,Kepler-82 d,2.0,2.0,2.0,1.0,1,663.6153,663.6154,663.6154,Kepler-82,Cyg,G,Primary Transit,2011
1316,Kepler-82 e,2.0,2.0,2.0,1.0,1,193.2827,193.2828,193.2828,Kepler-82,Cyg,G,Primary Transit,2011
1317,Kepler-83 b,2.0,2.0,2.0,1.0,1,12.88015,12.88015,12.88015,Kepler-83,Lyr,K,Primary Transit,2013
1318,Kepler-83 c,2.0,2.0,2.0,1.0,1,4.93593,4.935931,4.935932,Kepler-83,Lyr,K,Primary Transit,2013
1319,Kepler-83 d,2.0,2.0,2.0,1.0,1,30.12796,30.12797,30.12797,Kepler-83,Lyr,K,Primary Transit,2014
1320,Kepler-84 b,2.0,2.0,2.0,1.0,1,182.6236,182.6236,182.6236,Kepler-84,Cyg,F,Primary Transit,2013
1321,Kepler-84 c,2.0,2.0,2.0,1.0,1,107.8613,107.8613,107.8613,Kepler-84,Cyg,F,Primary Transit,2013
1322,Kepler-84 d,2.0,4.0,2.0,1.0,1,465.2714,465.2715,465.2715,Kepler-84,Cyg,F,Primary Transit,2014
1323,Kepler-84 e,2.0,3.0,1.0,1.0,1,38.40218,38.40219,38.40219,Kepler-84,Cyg,F,Primary Transit,2014
1324,Kepler-84 f,2.0,2.0,2.0,1.0,1,20.1295,20.1295,20.12951,Kepler-84,Cyg,F,Primary Transit,2014
